team,team_id
TRUCKERS WITH ATTITUDE,408
TSG,409
TSM,410
TYLOO,411
Taboo,412
Tainted Minds,413
Team123,414
TeamOne,415
Tempo Storm,416
Tengri,417
The Pioneers,418
The Quest,419
TheMongolz,420
Titan,421
Tokyo Revengers,422
Torqued,423
Tricked,424
Trident,425
Triumph,426
UBITEAM,427
UNGENTIUM,428
UNO MILLE,429
UYA,430
Unicorns of Love,431
Unique,432
Universe,433
VELOX,434
VERTEX,435
VG.CyberZen,436
VG.Flash,437
VITALIS,438
VP.Prodigy,439
VRTX,440
Valiance,441
Vega Squadron,442
VeryGames,443
Vexed,444
ViCi,445
Vireo.pro,446
Virtue,447
Virtus.pro,448
Vision,449
Vitality,450
W7M,451
WDNMD,452
Western Wolves,453
Wild,454
WinX,455
Windigo,456
Windigo Academy,457
Wings Up,458
Winstrike,459
Winterfox,460
Wisla Krakow,461
Wolsung,462
Worst Players,463
X Gamer,464
XPC,465
YK,466
Yeah,467
Young Ninjas,468
ZIGMA,469
aAa,470
adwokacik,471
allStars,472
bankaPEPSI,473
c0ntact,474
cowana,475
dream[S]cape,476
eBettle,477
eSuba,478
eUnited,479
eXploit,480
eXplosive,481
eXtatus,482
ex-4glory,483
ex-AGF,484
ex-ETHEREAL,485
ex-Epsilon,486
ex-MAD Lions,487
ex-Maknitude,488
ex-Outlaws,489
ex-Singularity,490
expert,491
fnatic,492
fnatic Academy,493
forZe,494
g3x,495
hREDS,496
iBUYPOWER,497
iGame.com,498
iNTACT,499
iNation,500
k1ck,501
lvlUP,502
madlikewizards,503
nxl,504
paiN,505
pro100,506
rewound,507
spray'n'pray,508
subtLe,509
temp,510
unknown,511
volgare,512
x-kom,513
x6tence,514
x6tence Galaxy,515
xDDDD,516
